City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,chinde,26.8418,88.0763,15.71,88,4,2.1,NP,1697045273
202,kudahuvadhoo,2.6708,72.8944,27.66,75,98,5.27,MV,1697045273
203,castillos,-34.1667,-53.8333,10.44,86,100,9.01,UY,1697045273
204,atar,20.5169,-13.0499,38.63,9,50,5.3,MR,1697045132
205,tralee,52.2704,-9.7026,11.14,93,100,2.57,IE,1697045273
206,antofagasta,-23.65,-70.4,17.6,65,33,4.53,CL,1697045274
207,cuito,-12.3833,16.9333,18.15,77,100,4.01,AO,1697045274
208,tomohon,1.3346,124.8392,18.52,78,95,0.99,ID,1697045274
209,griffith,41.5284,-87.4237,19.15,40,0,1.54,US,1697045274
210,fale old settlement,-9.3852,-171.2468,27.94,77,65,5.34,TK,1697045008
211,luanda,-8.8368,13.2343,26.0,73,0,6.17,AO,1697045275
212,queenstown,-31.8976,26.8753,18.3,68,88,3.82,ZA,1697045275
213,narrabri,-30.3167,149.7833,16.79,34,0,2.55,AU,1697045275
214,sisimiut,66.9395,-53.6735,-0.02,74,43,3.1,GL,1697045275
215,betio village,1.358,172.9211,27.02,73,84,2.4,KI,1697045275
216,ceerigaabo,10.6162,47.368,21.17,58,71,1.51,SO,1697045275
217,new ulm,44.3125,-94.4605,15.31,42,0,4.12,US,1697045275
218,mount pearl,47.5166,-52.7813,14.98,96,100,5.66,CA,1697045276
219,keflavik,64.0049,-22.5624,3.95,75,100,2.06,IS,1697045276
220,nalut,30.3333,10.85,24.87,29,10,1.87,LY,1697045276
221,fagersta,60.0042,15.7932,11.25,63,2,7.85,SE,1697045276
222,prince rupert,54.3161,-130.3201,13.83,91,100,1.54,CA,1697045277
223,rabo de peixe,37.8,-25.5833,19.43,99,75,5.66,PT,1697045277
224,grand baie,-20.0182,57.5802,23.03,68,78,0.9,MU,1697045067
225,puerto baquerizo moreno,-0.9,-89.6,25.55,78,75,7.72,EC,1697045277
